Course_Index,Course_Title,Course_Units,Course_Description,Course_Prerequisites,Major_Restriction,Course_Tags
CSE 3,Fluency in Information Technology,4.0,Introduces the concepts and skills necessary to effectively use information technology. Includes basic concepts and some practical skills with computer and networks. Prerequisites: none.,[[]],[],[]
CSE 4GS,Mathematical Beauty in Rome,4.0,"Exploration of topics in mathematics and engineering as they relate to classical architecture in Rome, Italy. In depth geometrical analysis and computer modeling of basic structures (arches, vaults, domes), and on-site studies of the Colosseum, Pantheon, Roman Forum, and St. Peter’s Basilica. Prerequisites: MATH 10A or MATH 20A; department approval, and corequisite of CSE 6GS.","[['MATH 10A', 'MATH 20A']]",[],[]
CSE 6GS,Mathematical Beauty in Rome Lab,4.0,"Companion course to CSE 4GS where theory is applied and lab experiments are carried out “in the field” in Rome, Italy. For final projects, students will select a complex structure (e.g., the Colosseum, the Pantheon, St. Peter’s, etc.) to analyze and model, in detail, using computer-based tools. Prerequisites: MATH 10A or MATH 20A; department approval, and corequisite of CSE 4GS.","[['MATH 10A', 'MATH 20A']]",[],[]
CSE 6R,Introduction to Computer Science and Object-Oriented Programming: Python,4.0,"An introduction to computer science and programming using the Python language. The course will cover topics such as basic data types (e.g., integer, float, string), loops and iteration, basic data structures (e.g., list, set, dictionary), memory models, conditional statements, recursion, basic algorithm time complexity analysis, class design, and inheritance.",[],[],[]
CSE 8A,Introduction to Programming and Computational Problem-Solving I,4.0,"Introductory course for students interested in computer science and programming. Basics of programming including variables, conditionals, loops, functions/methods. Structured data storage such as arrays/lists and dictionaries, including data mutation. Hands-on experience with designing, writing, hand-tracing, compiling or interpreting, executing, testing, and debugging programs. Students solve relevant computational problems using a high-level programming language. CSE 8A is part of a two-course sequence (CSE 8A-B) that is equivalent to CSE 11. Students should take CSE 8B to complete the CSE 8A-B track. Students who have taken CSE 8B or CSE 11 may not take or receive credit for CSE 8A. Students may only receive credit for one of the following: BILD 62, COGS 18, CSE 8A, or CSE 6R. Recommended preparation: No prior programming experience is assumed, but comfort using computers is helpful. Students should consult the “CSE Course Placement Advice” web page for assistance in choosing which CSE course to take first. Prerequisites: restricted to undergraduates. Graduate students will be allowed as space permits.",[[]],[],[]
CSE 8B,Introduction to Programming and Computational Problem-Solving II,4.0,"Introductory programming using an object-oriented approach with the Java programming language. Builds on basic programming constructs introduced in CSE 8A to introduce class design and use, interfaces, basic class hierarchies, recursion, event-based programming, error reporting with exceptions, and file I/O. Basics of command-line navigation for file management and running programs. Development, testing, and debugging of more complex programs. CSE 8B is part of a two-course sequence (CSE 8A-B) that is equivalent to CSE 11. No credit offered for CSE 8B if CSE 11 taken previously. Students may not receive credit for CSE 8B and CSE 11. Students should consult the “CSE Course Placement Advice” web page for assistance in choosing which CSE course to take first Prerequisites: CSE 8A; restricted to undergraduates. Graduate students will be allowed as space permits.",[['CSE 8A']],[],[]
CSE 11,Introduction to Programming and Computational Problem-Solving: Accelerated Pace,4.0,"Accelerated introductory programming including an object-oriented approach. Covers basic programming topics from CSE 8A including variables, conditionals, loops, functions/methods, structured data storage, and mutation. Also covers topics from CSE 8B including the Java programming language, class design, interfaces, basic class hierarchies, recursion, event-based programming, and file I/O. Basics of command-line navigation for file management and running programs. Zero units of credit offered for CSE 11 if CSE 8B taken previously or concurrently. Recommended preparation: Significant prior programming experience (for example, high school AP CSA). Students should consult the “CSE Course Placement Advice” web page for assistance in choosing a first CSE course. Prerequisites: restricted to undergraduates. Graduate students will be allowed as space permits.",[[]],[],[]
CSE 12,Basic Data Structures and Object-Oriented Design,4.0,"Use and implementation of basic data structures including linked lists, stacks, and queues. Use of advanced structures such as binary trees and hash tables. Object-oriented design including interfaces, polymorphism, encapsulation, abstract data types, pre-/post-conditions. Recursion. Uses Java and Java Collections. Prerequisites: CSE 8B or CSE 11; restricted to undergraduates. Graduate students will be allowed as space permits.","[['CSE 8B', 'CSE 11']]",[],[]
CSE 15L,Software Tools and Techniques Laboratory,2.0,"Hands-on exploration of software development tools and techniques. Investigation of the scientific process as applied to software development and debugging. Emphasis is on weekly hands-on laboratory experiences, development of laboratory notebooking techniques as applied to software design. Prerequisites: CSE 8B or CSE 11 or CSE 12 or DSC 30; restricted to undergraduates. Graduate students will be allowed as space permits.","[['CSE 8B', 'CSE 11', 'CSE 12', 'DSC 30']]",[],[]
CSE 20,Discrete Mathematics,4.0,"This course will introduce the ways logic is used in computer science: for reasoning, as a language for specifications, and as operations in computation. Concepts include sets, relations, functions, equivalence relations, partial orders, number systems, and proof methods (especially induction and recursion). Propositional and predicate logic will be introduced and applied to various computer science domains such as circuit design, databases, cryptography, and program correctness. Students who have completed MATH 109 may not receive credit for CSE 20. Credit not offered for both MATH 15A and CSE 20. Equivalent to MATH 15A. Prerequisites: CSE 11 or CSE 6R or CSE 8A or CSE 8B or ECE 15. Prerequisite courses must have been completed with a grade of C– or better; restricted to undergraduates. Graduate students will be allowed as space permits.","[['CSE 11', 'CSE 6R', 'CSE 8A', 'CSE 8B', 'ECE 15']]",[],[]
