Course_Index,Course_Title,Course_Units,Course_Description,Course_Prerequisites,Major_Restriction,Course_Tags
MATH 2,Introduction to College Mathematics,4.0,A highly adaptive course designed to build on students’ strengths while increasing overall mathematical understanding and skill. This multimodality course will focus on several topics of study designed to develop conceptual understanding and mathematical relevance: linear relationships; exponents and polynomials; rational expressions and equations; models of quadratic and polynomial functions and radical equations; exponential and logarithmic functions; and geometry and trigonometry. Workload credit only—not for baccalaureate credit. Must be taken for P/NP grading. May be repeated twice for credit. Prerequisites: Math Placement Exam qualifying score.,[[]],[],[]
MATH 3B,Foundations of Precalculus,4.0,Introduction to functions and their properties. Polynomial and rational functions. Exponential and logarithmic functions. Trigonometric functions and their properties. Prerequisites: Math Placement Exam qualifying score.,[[]],[],[]
MATH 3C,Precalculus,4.0,"Functions and their graphs. Linear and polynomial functions, zeroes, inverse functions, exponential and logarithmic, trigonometric functions and their inverses. Emphasis on understanding algebraic, numerical, and graphical. (No credit given if taken after MATH 4C, 1A/10A, or 2A/20A.) Three or more years of high school mathematics or equivalent recommended. Prerequisites: Math Placement Exam qualifying score or MATH 3B.",[['MATH 3B']],[],[]
MATH 4C,Precalculus for Science and Engineering,4.0,"Review of polynomials. Graphing functions and relations: graphing rational functions, effects of linear changes of coordinates. Circular functions and right triangle trigonometry. Reinforcement of function concept: exponential, logarithmic, and trigonometric functions. Vectors. Conic sections. Polar coordinates. (No credit given if taken after MATH 1A/10A or 2A/20A. Two units of credit given if taken after MATH 3C.) Three or more years of high school mathematics or equivalent recommended. Prerequisites: Math Placement Exam qualifying score, or MATH 3C, or ACT Math score of 25 or higher, or AP Calculus AB score (or subscore) of 2.",[['MATH 3C']],[],[]
MATH 10A,Calculus I,4.0,"Differential calculus of functions of one variable, with applications. Functions, graphs, continuity, limits, derivatives, tangent lines, optimization problems. (No credit given if taken after or concurrent with MATH 20A.) Prerequisites: Math Placement Exam qualifying score, or AP Calculus AB score of 2, or SAT II Math Level 2 score of 600 or higher, or MATH 3C, or MATH 4C.","[['MATH 3C', 'MATH 4C']]",[],[]
MATH 10B,Calculus II,4.0,"Integral calculus of functions of one variable, with applications. Antiderivatives, definite integrals, the Fundamental Theorem of Calculus, methods of integration, areas and volumes, separable differential equations. (No credit given if taken after or concurrent with MATH 20B.) Prerequisites: AP Calculus AB score of 3, 4, or 5 (or equivalent AB subscore on BC exam), or MATH 10A, or MATH 20A.","[['MATH 10A', 'MATH 20A']]",[],[]
MATH 10C,Calculus III,4.0,"Introduction to functions of more than one variable. Vector geometry, partial derivatives, velocity and acceleration vectors, optimization problems. (No credit given if taken after or concurrent with 20C.) Prerequisites: AP Calculus BC score of 3, 4, or 5, or MATH 10B, or MATH 20B.","[['MATH 10B', 'MATH 20B']]",[],[]
MATH 11,Calculus-Based Introductory Probability and Statistics,5.0,"Events and probabilities, conditional probability, Bayes’ formula. Discrete and continuous random variables: mean, variance; binomial, Poisson distributions, normal, uniform, exponential distributions, central limit theorem. Sample statistics, confidence intervals, hypothesis testing, regression. Applications. Introduction to software for probabilistic and statistical analysis. Emphasis on connections between probability and statistics, numerical results of real data, and techniques of data analysis. Prerequisites: AP Calculus BC score of 3, 4, or 5, or MATH 10B or MATH 20B.","[['MATH 10B', 'MATH 20B']]",[],[]
MATH 15A,Introduction to Discrete Mathematics,4.0,"Basic discrete mathematical structure: sets, relations, functions, sequences, equivalence relations, partial orders, and number systems. Methods of reasoning and proofs: propositional logic, predicate logic, induction, recursion, and pigeonhole principle. Infinite sets and diagonalization. Basic counting techniques; permutation and combinations. Applications will be given to digital logic design, elementary number theory, design of programs, and proofs of program correctness. Students who have completed MATH 109 may not receive credit for MATH 15A. Credit not offered for both MATH 15A and CSE 20. Equivalent to CSE 20. Prerequisites: CSE 8B or CSE 11. Prerequisite courses must be completed with a grade of C– or better.","[['CSE 8B', 'CSE 11']]",[],[]
MATH 18,Linear Algebra,4.0,"Matrix algebra, Gaussian elimination, determinants. Linear and affine subspaces, bases of Euclidean spaces. Eigenvalues and eigenvectors, quadratic forms, orthogonal matrices, diagonalization of symmetric matrices. Applications. Computing symbolic and graphical solutions using MATLAB. Students may not receive credit for both MATH 18 and 31AH. Prerequisites: Math Placement Exam qualifying score, or AP Calculus AB score of 3 (or equivalent AB subscore on BC exam), or SAT II Math Level 2 score of 650 or higher, or MATH 4C, or MATH 10A, or MATH 20A. Students who have not completed listed prerequisites may enroll with consent of instructor.","[['MATH 4C', 'MATH 10A', 'MATH 20A']]",[],[]
